"","Superficie","PrecAnual","PrecSeason","TempSeason","MaxTemp","MinTemp","slope_data","TempWettest","PrecWarmest","Municipios","Tipo.cultivo","Rol.New","Variedad","Incidencia","Parcela.catastral","Poligono.catatral","X","Y","Procedencia.planta","Diagnostico","Patotipo","Combinaciones","Diagnostico2","Isothermality"
"333",0.403109630382746,-1.08486160525141,0.443273957879396,-0.191299935178768,0.776136593365385,0.820303507828866,-0.283262451855869,0.200581333433576,-0.866587553792657,"Illora","Rainfed","0,15","1",0,254,12,425255,4123603,"Vivero",0,"",4,0,-0.793809048244267
"334",-0.32454889467613,-0.620451031577623,0.515001658678621,-0.337959031984075,0.567465920167849,0.458750401549461,-1.15934275106863,-0.126547920362555,-0.451567868870085,"Illora","Rainfed","0","1",0,181,12,414828,4123977,"Estaca",0,"",3,0,-0.793809048244267
"335",-0.176286031661452,-0.328944533960111,0.614826312606888,-0.230877329168791,0.387886468253649,1.27224489067812,-0.335190044191547,0.527710587229708,-0.866587553792657,"Illora","Rainfed","0","4",0,74,25,412859,4122694,"Estaca",0,"",3,0,-0.793809048244267
"336",-0.0153427922047306,0.995157829719726,-0.0819900773755862,0.745808850418638,0.0389341940449587,-0.0835792578696471,1.12709972148984,-0.535459487607721,-0.313227973895895,"Illora","Rainfed","0,54","39",0,123,35,422933,4129452,"Estaca",0,"",3,0,-0.793809048244267
"337",0.252895940223139,0.653295982323526,-0.0116435047863084,0.683066284466074,0.332212139953372,-0.0835792578696471,0.0109044800336988,-0.535459487607721,-0.313227973895895,"Illora","Irrigated","0,58","1",0,131,35,423043,4129184,"Estaca",0,"",1,0,-0.793809048244267
"338",-0.304065209654365,-0.525026588853214,0.0801100764827228,0.245823563680011,0.889538223394411,0.639526954689164,-0.944815252673749,0.0370167065355103,-0.728247658818467,"Illora","Rainfed","0","39",0,39,10,424343,4127401,"Estaca",0,"",3,0,-0.259934082204872
"339",-0.327475135393525,-0.525026588853214,0.0801100764827228,0.245823563680011,0.889538223394411,0.0971972952700557,0.202936964618792,-0.371894860709655,-0.451567868870085,"Illora","Rainfed","0","39",0,64,10,424708,4127515,"Estaca",0,"",3,0,-0.259934082204872
"340",0.125116762230227,1.72872857721602,-0.187191465083374,0.997052666484368,-0.632652215736979,-0.806685470428458,0.218523230183289,-1.18971799519999,0.240131606000868,"Illora","Rainfed","0,71","1",0.026,294,32,421424,4131998,"Vivero",1,"ND",4,0,-0.793809048244251
"341",0.127067589375157,1.72872857721602,-0.187191465083374,0.997052666484368,-0.632652215736979,-0.806685470428458,-0.12644582561953,-1.18971799519999,0.240131606000868,"Illora","Rainfed","0,24","1",0,283,32,421106,4131950,"Vivero",0,"",4,0,-0.793809048244251
"342",-0.0836217422772793,0.558043819247786,0.0282074877819979,0.768880999209677,0.705662975866894,-0.26435581100935,0.455002357181771,-0.699024114505787,-0.174888078921704,"Illora","Rainfed","0","199(11)",0,185,32,422469,4133597,"Estaca",1,"D",3,0,-0.793809048244267
"343",-0.327475135393525,-0.867456150700787,0.415018181859809,-0.0899641037659935,0.730671020995177,0.458750401549461,-0.583490685461997,-0.0447656069135224,-0.589907763844276,"Illora","Rainfed","0","1",0,179,12,424774,4124012,"Estaca",0,"",3,0,-0.793809048244267
"344",-0.169458136654198,-0.867456150700787,0.415018181859809,-0.0899641037659935,0.730671020995177,0.820303507828866,-0.244452631038233,0.200581333433576,-0.866587553792657,"Illora","Rainfed","0,38","1",0,200,12,424503,4123363,"Vivero",0,"",4,0,-0.793809048244267
"345",-0.32454889467613,-0.347268116598114,0.229031335963044,0.403278804345524,1.00605957772786,0.0971972952700557,-1.18937926781732,-0.371894860709655,-0.451567868870085,"Illora","Rainfed","0,21","39",0,200,8,425191,4128336,"Estaca",0,"",3,0,-0.793809048244267
"346",-0.238712500299211,-0.525026588853214,0.0801100764827228,0.245823563680011,0.889538223394411,0.0971972952700557,1.25211358233445,-0.371894860709655,-0.451567868870085,"Illora","Rainfed","0","39",0,82,10,424941,4127250,"Estaca",0,"",3,0,-0.259934082204872
"347",-0.290409419639855,0.960651668248262,0.0309290931332408,0.885395112410357,0.227850382754019,-1.07785030013801,0.647259830343466,-1.35328262209805,0.516811395949249,"Illora","Rainfed","0","1",0,300,30,420671,4129064,"Estaca",0,"",3,0,-0.793809048244267
"348",-0.263097839610836,0.472776902730016,0.192624709941173,0.61894630605738,0.496552494580317,0.187585571839907,0.698793493165881,-0.371894860709655,-0.451567868870085,"Illora","Rainfed","0,17","1",0,473,30,421522,4128382,"Estaca",0,"",3,0,-0.793809048244251
"349",-0.202622198118007,0.957983691564129,-0.000416249033477163,0.841296495249235,0.231691085200793,-0.535520640718904,0.1184542808172,-0.862588741403853,0.101791711026677,"Illora","Rainfed","0,02","1",0,103,33,421640,4129289,"Estaca",0,"",3,0,-0.793809048244267
"350",-0.294311073929715,-0.616507481657268,0.275209683933281,0.0996632395949943,0.808353036087474,-0.0835792578696471,0.263016241113256,-0.535459487607721,-0.313227973895895,"Illora","Irrigated","0","39",0,113,36,423508,4126519,"Estaca",0,"",1,0,0.0359238302214456
"351",0.113411799360647,0.537440139058391,0.189918796320487,0.606377579301118,0.474640367311498,0.187585571839907,-0.0952421860742035,-0.290112547260622,-0.451567868870085,"Illora","Rainfed","0,92","5",0,141,34,421945,4128189,"Estaca",0,"",3,0,-0.793809048244251
"352",-0.31674558609641,-0.477141181807872,0.23087029334844,0.181955558563775,0.854756761332783,0.820303507828866,-1.03314171735513,0.118799019984543,-0.866587553792657,"Illora","Rainfed","0,8","5",0,1,38,421909,4126549,"Estaca",0,"",3,0,-0.793809048244251
"353",0.0646411207373978,-0.619539142336091,0.34783185378305,0.134166231563299,0.860783933061923,0.639526954689164,0.569796605662551,0.0370167065355103,-0.728247658818467,"Illora","Rainfed","0","39",0,1,11,424063,4126749,"Estaca",0,"",3,0,-0.793809048244251
"354",-0.179212272378847,-0.411310909114312,0.256582376593109,0.16668710882648,0.818452762104183,0.36836212497961,-0.250420677171847,-0.126547920362555,-0.451567868870085,"Illora","Rainfed","0","39",0,672,30,421230,4126824,"Estaca",0,"",3,0,-0.793809048244251
