"","ET_resilienceWhiteEtal","PPTspring"
"266",0.0142857142857143,1.1368438071226
"216",0.00852272727272727,1.12142130981885
"215",0.0197368421052632,1.16833143431182
"213",0.01875,0.789957136711267
"214",0.0197368421052632,1.06211102438446
"206",0.0131578947368421,0.175357731837634
"228",0.00961538461538462,0.565383482070766
"242",0.0170454545454545,0.724444430201219
"204",0.00462962962962963,0.224593170592441
"207",0.0131578947368421,0.0927051977832065
"208",0.05,0.769508459937221
"270",0.0192307692307692,0.469755731819753
"197",0.0192307692307692,0.957698699854581
"212",0.01875,0.723074009401297
"211",0.015625,0.787097857512557
"198",0.0113636363636364,0.601480104086394
"227",0.0138888888888889,0.528502443596779
"209",0.0138888888888889,0.492037470405986
"241",0.01171875,0.69069454244673
"210",0.00892857142857143,0.44524172990471
"168",0.0107142857142857,1.19434328211394
"109",0.0625,-1.58282082972315
"75",0.0625,-1.10852575226017
"111",0.03125,-1.15349310020481
"110",0.0416666666666667,-1.36960235250118
"138",0.0178571428571429,0.858231289751994
"113",0.00520833333333333,0.355247317209157
"240",0.00862068965517241,0.236035876040068
"221",0.0076530612244898,0.133621202814707
"234",0.00833333333333333,0.00817829152981521
"177",0.0160550458715596,0.398506769058981
"233",0.005,0.423744418644417
"260",0.00595238095238095,0.574656774119035
"236",0.0113636363636364,0.2794527556473
"232",0.00862068965517241,0.374873380699609
"247",0.00862068965517241,0.327381196796456
"248",0.0106382978723404,0.438600674300021
"237",0.0116459627329193,0.437895653660982
"238",0.00543478260869565,0.582735770795411
"12",0.015625,-0.949663519451981
"39",0.0625,-1.53717707764995
"143",0.0625,-1.71534732608228
"10",0.0208333333333333,-0.377121353752885
"152",0.125,0.335468477285346
"9",0.0625,-0.890282381474246
"11",0.0104166666666667,-0.780939142948122
"37",0.015625,-1.41952533519696
"8",0.025,-0.644821544311485
"40",0.0233333333333333,1.71518032144723
"42",0.016025641025641,0.187692198260658
"154",0.0178571428571429,1.05242237072877
"38",0.125,-0.838278526809994
"41",0.0104166666666667,0.326776320903
"192",0.00806451612903226,1.44729083667108
"126",0.00735294117647059,1.41267370520067
"13",0.0140449438202247,1.31783172985546
"112",0.0093167701863354,1.11957715764173
"118",0.0145833333333333,1.02524832495097
"225",0.012987012987013,1.55164808430779
"51",0.011,1.45815416428378
"53",0.0134297520661157,1.43751148219644
"52",0.00862068965517241,1.41327773885671
"3",0.00892857142857143,1.66163514840417
"30",0.00892857142857143,1.33477851386734
"1",0.00961538461538462,1.28414843862847
"31",0.0108695652173913,1.27178603437531
"190",0.0121951219512195,1.08091390676029
"191",0.00961538461538462,1.24265938341023
"106",0.00416666666666667,0.102967746579939
"23",0.0227272727272727,-0.177806442669733
"24",0.025,-0.373789400049088
"115",0.00416666666666667,-0.0149787409318967
"114",0.00813008130081301,0.107855405164356
"21",0.00833333333333333,-0.300885015844748
"22",0.00892857142857143,-0.355363568074171
"119",0.0181818181818182,-0.359041664782627
"108",0.0153061224489796,0.892295321194838
"102",0.0152777777777778,0.691400595505826
"105",0.0277777777777778,0.284128740950969
"104",0.00892857142857143,0.401509723093175
"20",0.00910596026490066,0.495116962086078
"25",0.025,-0.131040335884383
"125",0.025,-1.23179195093589
"26",0.0625,-0.556834644977206
"27",0.025,-0.54509581646164
"49",0.0232558139534884,-0.842678995063316
"50",0.0230263157894737,-1.30219530434305
"19",0.0416666666666667,-1.99193817452586
"62",0.015625,-1.81057080889446
"77",0.00574712643678161,-2.29434074375072
"61",0.0185185185185185,-1.9463565203456
"59",0.00744047619047619,-2.18070880785346
"195",0.015625,-0.0868586653090165
