"asi","county","state","X","Y","year","index"
21.25,"Lander","Nevada",-117.491,39.257,1989,109
11.4375,"Lander","Nevada",-117.276,40.492,1989,110
7.25,"Lander","Nevada",-117.26,39.427,1989,111
15.3125,"Lander","Nevada",-116.728,40.995,1989,112
22.0625,"Lander","Nevada",-116.84,39.538,1989,113
32.9375,"Lander","Nevada",-116.714,39.6,1989,114
28.3125,"Lander","Nevada",-116.891,40.362,1989,115
17.9375,"Lander","Nevada",-116.695,40.815,1989,116
10.3125,"Lander","Nevada",-117.177,40.361,1989,117
22.4375,"Lander","Nevada",-117.083,40.514,1989,118
19.625,"Lander","Nevada",-116.997,39.991,1989,119
19.8125,"Lander","Nevada",-117.322,40.324,1989,120
14.9375,"Lander","Nevada",-117.402,40.293,1989,121
20,"Lander","Nevada",-116.812,40.783,1989,122
18.5625,"Lander","Nevada",-116.62,39.426,1989,123
11,"Lander","Nevada",-116.883,39.714,1989,124
14.1875,"Lander","Nevada",-117.284,39.518,1989,125
17.3125,"Lander","Nevada",-116.882,39.625,1989,126
17.25,"Lander","Nevada",-117.095,39.221,1989,129
19.125,"Lander","Nevada",-117.604,39.306,1989,131
9.5,"Lander","Nevada",-117.068,40.188,1989,132
13.3125,"Lander","Nevada",-116.982,40.632,1989,133
18.375,"Lander","Nevada",-116.87,40.577,1989,134
17.1875,"Lander","Nevada",-116.974,40.227,1989,135
13.3125,"Lander","Nevada",-116.927,40.767,1989,136
18.875,"Lander","Nevada",-117.086,39.921,1989,137
19.5,"Lander","Nevada",-117.288,39.588,1989,138
21.75,"Lander","Nevada",-116.754,40.896,1989,139
23.1875,"Lander","Nevada",-116.943,40.59,1989,140
18.5625,"Lander","Nevada",-117.132,40.456,1989,141
10.9375,"Lander","Nevada",-116.804,40.519,1989,142
10.8125,"Lander","Nevada",-117.295,40.45,1989,143
21.4375,"Lander","Nevada",-116.796,39.763,1989,144
23.125,"Lander","Nevada",-116.892,39.552,1989,145
9.625,"Lander","Nevada",-116.887,39.84,1989,146
22.4375,"Lander","Nevada",-117.257,39.561,1989,147
18.3125,"Lander","Nevada",-116.884,40.266,1989,148
24.125,"Lander","Nevada",-116.985,39.423,1989,149
21.5625,"Lander","Nevada",-116.932,40.086,1989,150
15.75,"Lander","Nevada",-116.931,39.165,1989,151
24.5,"Lander","Nevada",-116.771,39.433,1989,152
15.9375,"Lander","Nevada",-117.357,39.184,1989,153
12.3125,"Lander","Nevada",-116.959,39.637,1989,154
23.4375,"Lander","Nevada",-116.598,39.465,1989,156
17.875,"Lander","Nevada",-117.559,39.338,1989,157
12.375,"Lander","Nevada",-116.706,40.991,1989,158
12.5,"Lander","Nevada",-116.7,40.366,1989,160
18.5625,"Lander","Nevada",-116.984,40.618,1989,161
8.25,"Lander","Nevada",-116.597,40.05,1989,162
16.5625,"Lander","Nevada",-117.159,40.216,1989,163
18.4375,"Lander","Nevada",-117.411,39.294,1989,164
3.8125,"Lander","Nevada",-117.257,40.237,1989,165
14.375,"Lander","Nevada",-116.969,40.128,1989,166
13.125,"Lander","Nevada",-116.979,39.56,1989,167
11.8125,"Lander","Nevada",-117.343,40.134,1989,169
12.75,"Lander","Nevada",-116.694,40.406,1989,170
6.8125,"Lander","Nevada",-116.848,39.719,1989,171
17.0625,"Lander","Nevada",-116.6,39.665,1989,172
